City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kingston,17.997,-76.7936,27.53,81,75,6.17,JM,1682032895
83,haapsalu,58.9431,23.5414,5.51,69,46,3.33,EE,1682032895
84,saint-francois,46.4154,3.9054,4.82,87,0,1.54,FR,1682032895
85,st. john's,47.5649,-52.7093,2.04,96,100,10.29,CA,1682032780
86,tromso,69.6496,18.957,5.01,87,75,3.6,NO,1682032896
87,papatowai,-46.5619,169.4708,14.38,75,100,1.41,NZ,1682032896
88,ta`u,-14.2336,-169.5144,28.03,79,100,10.39,AS,1682032896
89,horta,38.5333,-28.6333,11.68,80,48,2.24,PT,1682032896
90,hasaki,35.7333,140.8333,22.22,81,100,5.87,JP,1682032896
91,margaret river,-33.95,115.0667,13.53,58,23,1.92,AU,1682032896
92,majalengka,-6.8361,108.2278,23.46,94,96,1.47,ID,1682032896
93,avarua,-21.2078,-159.775,26.03,73,20,3.09,CK,1682032896
94,college,64.8569,-147.8028,6.18,51,20,1.54,US,1682032785
95,manturovo,58.3353,44.7619,4.94,63,81,1.2,RU,1682032896
96,hamilton,39.1834,-84.5333,28.35,28,0,6.69,US,1682032671
97,guerrero negro,27.9769,-114.0611,20.86,49,0,6.22,MX,1682032896
98,inarajan village,13.2736,144.7484,28.08,78,85,7.93,GU,1682032897
99,iqaluit,63.7506,-68.5145,-3.5,86,100,2.24,CA,1682032897
100,invercargill,-46.4,168.35,11.68,82,100,0.89,NZ,1682032897
101,fort st. john,56.2499,-120.8529,4.94,60,100,4.12,CA,1682032897
102,kabalo,-6.05,26.9167,20.73,97,49,1.75,CD,1682032897
103,mahanoro,-19.9,48.8,22.67,93,46,1.53,MG,1682032897
104,longboat key,27.4125,-82.659,29.44,42,0,4.63,US,1682032819
105,noumea,-22.2763,166.4572,28.99,99,14,2.58,NC,1682032897
106,georgetown,5.4112,100.3354,26.96,93,20,1.54,MY,1682032751
107,harstad,68.799,16.5293,4.66,100,100,6.71,NO,1682032897
108,patiya,22.2931,91.9762,24.86,88,23,3.8,BD,1682032897
109,san antonio de pale,-1.4014,5.6325,27.81,79,100,6.28,GQ,1682032693
110,keflavik,64.0049,-22.5624,7.95,93,100,2.06,IS,1682032897
111,jinka,5.65,36.65,18.08,87,91,0.85,ET,1682032897
112,fort wellington,6.4,-57.6,25.94,86,97,4.3,GY,1682032898
113,margate,51.3813,1.3862,9.27,80,37,2.68,GB,1682032898
114,bamboo flat,11.7,92.7167,27.51,72,29,2.74,IN,1682032898
